AT_1,AT_2,FI_1,FI_2,FI_3,R_1,R_2,R_3,E_1,E_2,E_3,E_4,D_1,R_12,C_1,Info,Años,Giro,Puesto,Estado
1,2,2,2,1,2,1,1,3,2,4,2,8,9,2,8,1,Gubernamental,Director,Oaxaca
3,3,3,3,4,4,3,4,4,3,5,4,6,8,3,7,3,Persona física,Persona física,Estado de México
2,4,3,3,3,4,2,2,4,5,4,3,6,6,3,7,3,Persona física,Persona física,Estado de México
4,4,4,4,3,4,4,5,5,4,3,4,8,8,4,7,4,Teletón (Grupos internos de la Fundación),Persona física,Estado de México
4,4,3,3,4,4,3,4,4,5,4,3,7,8,3,8,4,Educación,Director,Michoacán
4,3,4,4,3,3,4,4,4,5,4,4,7,9,4,8,4,Persona física,Asistente,Tamaulipas
5,4,5,5,4,4,5,4,4,5,4,4,8,8,4,7,3,Educación,Coordinador,Aguascalientes
4,5,5,5,4,4,5,3,4,4,3,4,8,9,3,8,4,Educación,Director,Aguascalientes
3,4,3,3,4,4,3,3,5,5,4,4,8,9,4,10,8,Persona física,Persona física,San Luis Potosí
3,4,4,4,3,3,4,3,5,4,4,4,7,8,3,8,2,Teletón (Grupos internos de la Fundación),Persona física,Estado de México
4,3,4,3,4,4,3,4,4,3,4,4,8,7,3,4,1,Persona física,Persona física,Estado de México
4,3,4,4,4,4,4,4,4,4,3,3,7,8,3,9,15,Persona física,Persona física,Estado de México
4,3,4,3,3,3,4,4,3,3,3,4,8,9,3,8,1,Gubernamental,Director,Oaxaca
3,2,3,3,3,4,4,3,4,5,4,3,7,8,3,8,10,Educación,Coordinador,Aguascalientes
4,2,3,3,3,4,3,3,4,4,3,3,7,8,3,7,6,Educación,Coordinador,Aguascalientes
4,3,3,4,3,4,4,3,5,4,4,3,8,8,4,8,3,Educación,Asistente,Sonora
2,3,4,3,3,4,4,3,4,4,3,2,7,8,2,8,1,Asociación civil,Coordinador,Oaxaca
3,3,3,3,3,4,4,4,4,4,4,3,8,9,3,7,17,Educación,Asistente,Sonora
5,4,3,4,4,3,3,3,5,4,4,3,7,8,3,7,1,Empresa,Gerente,Aguascalientes
4,4,4,3,3,4,4,4,4,4,4,3,7,9,4,8,1,Gubernamental,Director,Aguascalientes
4,4,3,4,4,4,4,3,4,3,4,4,8,8,4,8,2,Educación,Director,Guerrero
3,4,3,3,4,4,5,4,4,4,4,3,8,9,4,8,5,Educación,Director,Coahuila
4,3,3,2,3,5,5,4,4,4,4,3,7,9,3,8,20,Educación,Asistente,Sonora
4,3,4,3,3,3,3,4,4,4,4,3,6,9,3,7,5,Persona física,Persona física,Tamaulipas
5,3,3,4,4,4,4,4,4,3,3,4,8,8,4,8,2,Educación,Director,Guerrero
5,4,4,3,4,4,3,3,4,3,4,4,8,8,3,4,8,Gubernamental,Persona física,Oaxaca
4,4,4,4,4,4,4,3,4,4,3,3,7,8,3,9,1,Empresa,Dueño,Sonora
3,3,4,3,3,3,4,4,4,5,4,4,8,8,3,8,1,Empresa,Coordinador,Sonora
4,4,3,3,3,4,4,3,3,4,3,3,7,8,3,8,1,Empresa,Director,Aguascalientes
